Municipality;Population;Area
Aadorf;9422;19.93
Aarau;21'807;12.36
Aarberg;4629;7.94
Aarburg;8746;4.40
Aarwangen;4793;9.87
Abtwil;1054;4.14
Aclens;557;3.90
Acquarossa;1831;61.77
Adelboden;3399;87.64
Adligenswil;5504;6.98
Adliswil;19'243;7.78
Aedermannsdorf;578;12.94
Aefligen;1140;2.06
Aegerten;2359;2.16
Aesch (BL);10'607;7.40
Aesch (LU);1350;4.65
Aesch (ZH);1672;5.21
Aeschi (SO);1306;5.41
Aeschi bei Spiez;2283;30.93
Aeugst am Albis;1991;7.90
Affeltrangen;2786;14.40
Affoltern am Albis;12'588;10.53
Affoltern im Emmental;1181;11.44
Agarn;709;7.61
Agiez;379;5.45
Agno;4468;2.51
Aigle;10'913;16.50
Aire-la-Ville;1145;2.88
Airolo;1432;94.40
Alberswil;683;3.56
Albinen;253;15.56
Albula/Alvra;1327;93.97
Alchenstorf;606;6.61
Allaman;424;2.59
Alle;1882;10.65
Allmendingen;566;3.77
Allschwil;21'654;8.91
Alpnach;6222;53.83
Alpthal;618;22.94
Altbüron;1029;6.72
Altdorf (UR);9880;10.19
Altendorf;7215;20.48
Altikon;729;7.71
Altishofen;2006;14.32
Altnau;2347;6.71
Alto Malcantone;1385;22.06
Altstätten;12'278;39.56
Amden;1847;43.04
Amlikon-Bissegg;1373;14.43
Ammerswil;777;3.20
Amriswil;14'313;18.99
Amsoldingen;788;4.70
Andeer;921;46.37
Andelfingen;3431;17.00
Andermatt;1538;62.19
Andwil (SG);2115;6.28
Anières;2417;3.82
Anniviers;2703;243.37
Anwil;531;3.94
Appenzell;5864;16.88
Aranno;361;2.55
Arbaz;1390;19.25
Arbedo-Castione;5082;21.43
Arboldswil;591;3.46
Arbon;15'459;6.01
Arch;1718;6.40
Ardon;3564;20.34
Arisdorf;1708;9.98
Aristau;1588;8.70
Arlesheim;9270;6.95
Arnex-sur-Nyon;243;2.09
Arnex-sur-Orbe;691;7.63
Arni (AG);1886;3.46
Arni (BE);951;10.38
Arogno;955;8.55
Arosa;3061;154.72
Arth;12'358;42.00
Arzier-Le Muids;2960;51.87
Ascona;5436;4.94
Assens;1672;8.46
Astano;299;3.84
Attalens;3682;9.81
Attinghausen;1765;46.90
Attiswil;1549;7.66
Au (SG);8252;4.66
Aubonne;3791;14.34
Auboranges;288;1.93
Auenstein;1669;5.71
Augst;1057;1.62
Ausserberg;630;15.02
Auswil;458;4.56
Autigny;794;6.20
Auw;2279;8.55
Avegno Gordevio;1557;27.30
Avenches;4685;19.43
Avers;168;93.08
Avry;1921;5.79
Avully;1708;4.65
Avusy;1377;5.17
Ayent;4247;55.02
Baar;24'996;24.77
Bachenbülach;4208;4.29
Bachs;636;9.18
Bad Ragaz;6663;25.43
Baden;22'849;14.72
Balerna;3291;2.53
Balgach;5067;6.59
Ballaigues;1153;9.10
Ballens;589;8.41
Ballwil;2668;8.75
Balm bei Günsberg;215;5.47
Balsthal;6375;15.72
Baltschieder;1355;31.32
Bannwil;696;4.73
Bardonnex;2531;5.02
Bäretswil;5098;22.20
Bargen (BE);1100;7.86
Bargen (SH);322;8.27
Bäriswil;1096;2.77
Bärschwil;786;11.16
Basadingen-Schlattingen;1846;15.63
Basel;173'552;23.89
Bas-Intyamon;1598;33.26
Basse-Allaine;1217;23.00
Basse-Vendline;742;18.67
Bassersdorf;12'062;8.99
Bassins;1486;20.85
Bätterkinden;3368;10.13
Bättwil;1169;1.70
Baulmes;1135;22.52
Bauma;4924;29.51
Bavois;1010;9.30
Beatenberg;1182;29.20
Beckenried;3749;24.27
Bedano;1495;1.89
Bedigliora;620;2.52
Bedretto;94;75.23
Beggingen;467;12.64
Begnins;1941;4.80
Beinwil (Freiamt);1248;11.34
Beinwil (SO);268;22.68
Beinwil am See;3477;3.82
Belfaux;3406;8.91
Bellach;5399;5.32
Bellevue;4075;4.38
Bellikon;1571;4.90
Bellinzona;44'270;164.09
Bellmund;1777;3.82
Bellwald;338;13.97
Belmont-Broye;5844;25.82
Belmont-sur-Lausanne;3837;2.61
Belmont-sur-Yverdon;435;6.50
Belp;11'578;23.30
Belprahon;276;3.82
Benken (SG);3018;16.47
Benken (ZH);847;5.67
Bennwil;659;6.60
Bercher;1359;4.24
Berg (SG);988;3.78
Berg (TG);3532;13.19
Berg am Irchel;592;7.03
Bergdietikon;2938;6.06
Bergün Filisur;884;190.14
Berikon;4880;5.39
Beringen;5153;18.65
Berken;47;1.40
Berlingen;928;3.57
Bern;134'506;51.61
Berneck;3963;5.60
Bernex;10'250;12.97
Berolle;301;9.63
Beromünster;6701;42.18
Besenbüren;628;2.34
Bettenhausen;679;3.96
Bettens;650;3.76
Bettingen;1288;2.20
Bettlach;4943;12.18
Bettmeralp;463;28.79
Bettwiesen;1275;3.88
Bettwil;680;4.28
Bever;605;45.66
Bex;8167;96.63
Biasca;6110;59.03
Biberist;9188;12.17
Biberstein;1624;4.10
Bichelsee-Balterswil;3007;12.12
Biel/Bienne;55'070;21.20
Biel-Benken;3555;4.12
Bière;1674;25.03
Biezwil;356;4.15
Biglen;1852;3.58
Billens-Hennens;883;4.90
Binn;128;65.09
Binningen;15'631;4.48
Bioggio;2737;6.45
Bioley-Magnoux;247;4.31
Birmensdorf (ZH);7057;11.42
Birmenstorf (AG);3010;7.76
Birr;4605;5.05
Birrhard;757;3.00
Birrwil;1357;3.45
Birsfelden;10'264;2.58
Birwinken;1381;12.26
Bischofszell;6064;11.61
Bissone;945;1.86
Bister;41;5.80
Bitsch;1122;5.86
Blatten;298;90.54
Blauen;702;7.09
Bleienbach;748;5.67
Blenio;1745;202.17
Blonay – Saint-Légier;12'117;31.24
Blumenstein;1267;15.50
Böckten;806;2.27
Bodio;890;6.43
Boécourt;951;12.32
Bofflens;203;4.17
Bogis-Bossey;932;2.43
Bois-d’Amont;2344;12.28
Bolken;581;2.13
Bolligen;6361;16.59
Boltigen;1275;77.08
Bonaduz;3493;14.45
Boncourt;1205;9.02
Bönigen;2568;15.08
Boningen;805;2.80
Boniswil;1669;2.37
Bonstetten;5624;7.44
Bonvillars;502;7.49
Boppelsen;1454;3.94
Borex;1139;1.96
Bosco/Gurin;53;22.02
Bösingen;3339;14.32
Bossonnens;1575;4.10
Boswil;3031;11.76
Bottens;1351;6.94
Bottenwil;852;5.05
Botterens;733;4.24
Bottighofen;2696;2.43
Bottmingen;6920;2.98
Böttstein;4143;7.45
Boudry;6267;16.76
Bougy-Villars;507;1.78
Boulens;382;3.42
Bourg-en-Lavaux;5386;9.68
Bourg-Saint-Pierre;218;89.81
Bournens;511;3.89
Bourrignon;258;13.53
Boussens;1006;3.18
Bovernier;911;13.11
Bowil;1338;14.70
Bözberg;1657;15.56
Böztal;2843;22.30
Braunau;855;9.16
Bregaglia;1576;251.35
Breggia;1914;25.58
Breil/Brigels;1719;96.58
Breitenbach;4153;6.84
Bremblens;606;2.94
Bremgarten (AG);8705;11.31
Bremgarten bei Bern;4303;1.88
Brenzikofen;488;2.20
Bretigny-sur-Morrens;877;2.84
Bretonnières;264;5.53
Bretzwil;749;7.38
Brienz (BE);3225;48.09
Brienzwiler;486;17.63
Brig-Glis;13'642;37.68
Brione sopra Minusio;452;3.79
Brislach;1701;9.41
Brissago;1613;17.78
Brittnau;4130;13.65
Broc;2649;10.06
Brot-Plamboz;282;16.16
Brugg;12'943;8.26
Brügg;4456;5.02
Brunegg;877;1.51
Brünisried;694;3.27
Brusino Arsizio;458;4.18
Brusio;1124;46.25
Brüttelen;621;6.62
Brütten;2161;6.65
Bubendorf;4439;10.85
Bubikon;7496;11.61
Buch (SH);310;3.81
Buch am Irchel;1038;10.16
Buchberg;880;5.85
Buchegg;2898;25.65
Buchholterberg;1536;15.28
Buchillon;674;2.13
Buchrain;6621;4.79
Buchs (AG);8319;5.32
Buchs (SG);13'605;15.94
Buchs (ZH);6628;5.87
Buckten;717;2.02
Büetigen;920;3.61
Bühl;483;2.96
Bühler;1841;5.59
Bülach;23'624;16.06
Bulle;25'722;23.86
Bullet;656;16.90
Bünzen;1197;5.78
Buochs;5483;9.92
Bürchen;750;13.39
Bure;631;13.71
Büren (SO);1066;6.22
Büren an der Aare;3696;12.63
Burg im Leimental;271;2.88
Burgdorf;16'586;15.60
Burgistein;1098;7.52
Bürglen (TG);4067;11.72
Bürglen (UR);3877;53.10
Büron;2714;5.36
Bursinel;504;1.80
Bursins;766;3.40
Burtigny;414;5.69
Buseno;83;11.25
Büsserach;2361;7.54
Bussigny;10'365;4.78
Bussnang;2546;18.91
Busswil bei Melchnau;173;2.88
Bussy-sur-Moudon;246;3.13
Bütschwil-Ganterschwil;5163;21.85
Büttenhardt;420;4.01
Büttikon;1111;2.82
Buttisholz;3421;16.68
Buttwil;1274;4.56
Buus;1116;8.86
Cademario;789;3.94
Cadempino;1501;0.76
Cadenazzo;3068;8.40
Calanca;217;37.67
Cama;658;15.05
Campo (Vallemaggia);49;43.41
Canobbio;2330;1.25
Capriasca;6740;36.27
Carouge (GE);22'164;2.65
Cartigny;1021;4.41
Caslano;4329;2.80
Castaneda;268;3.94
Castel San Pietro;2227;11.79
Cazis;2346;31.20
Celerina/Schlarigna;1424;24.05
Céligny;845;4.67
Centovalli;1102;53.49
Cerentino;36;20.10
Cevio;1110;151.32
Chalais;3759;24.37
Cham;17'643;17.76
Chamblon;567;2.86
Chamoson;4178;32.47
Champagne;1073;3.91
Champéry;1350;38.92
Champoz;160;7.16
